Designator,Mid X,Mid Y,Rotation,Layer
C1,102.0,-68.25,-90.0,top
C10,106.725,-65.95,180.0,top
C11,105.0,-68.7,90.0,top
C12,120.8,-89.675,-90.0,top
C13,120.8,-86.375,90.0,top
C14,127.075,-86.65,0.0,top
C15,123.8,-86.65,180.0,top
C16,96.779879,-98.75,180.0,top
C17,91.5,-109.0,0.0,top
C18,90.779879,-100.0,-90.0,top
C19,90.779879,-103.25,-90.0,top
C2,102.0,-79.75,0.0,top
C20,90.779879,-106.5,-90.0,top
C21,113.71875,-107.7625,0.0,top
C22,118.998629,-97.5125,180.0,top
C23,119.71875,-106.5125,90.0,top
C24,119.71875,-103.2625,90.0,top
C25,119.71875,-100.0125,90.0,top
C26,96.779879,-110.75,180.0,top
C27,91.5,-121.0,0.0,top
C28,90.779879,-112.0,-90.0,top
C29,90.779879,-115.25,-90.0,top
C3,100.25,-66.975,90.0,top
C30,90.779879,-118.5,-90.0,top
C31,113.71875,-119.7625,0.0,top
C32,118.998629,-109.5125,180.0,top
C33,119.71875,-118.5125,90.0,top
C34,119.71875,-115.2625,90.0,top
C35,119.71875,-112.0125,90.0,top
C36,96.779879,-122.75,180.0,top
C37,91.5,-133.0,0.0,top
C38,90.779879,-124.0,-90.0,top
C39,90.779879,-127.25,-90.0,top
C4,93.475,-65.735,180.0,top
C40,90.779879,-130.5,-90.0,top
C41,113.71875,-131.7625,0.0,top
C42,118.998629,-121.5125,180.0,top
C43,119.71875,-130.5125,90.0,top
C44,119.71875,-127.2625,90.0,top
C45,119.71875,-124.0125,90.0,top
C46,96.779879,-134.75,180.0,top
C47,91.5,-145.0,0.0,top
C48,90.779879,-136.0,-90.0,top
C49,90.779879,-139.25,-90.0,top
C5,76.3,-71.6,90.0,top
C50,90.779879,-142.5,-90.0,top
C51,113.71875,-143.7625,0.0,top
C52,118.998629,-133.5125,180.0,top
C53,119.71875,-142.5125,90.0,top
C54,119.71875,-139.2625,90.0,top
C55,119.71875,-136.0125,90.0,top
C56,96.779879,-146.75,180.0,top
C57,91.5,-157.0,0.0,top
C58,90.779879,-148.0,-90.0,top
C59,90.779879,-151.25,-90.0,top
C6,79.775,-68.6,180.0,top
